"","Gene_Clusters"
"DDIT3","1"
"PGM5","2"
"SF1","1"
"TMPO","3"
"CD24","1"
"UBQLN1","2"
"AC245060.5","1"
"SLC14A1","1"
"RBM12","1"
"EIF4EBP1","3"
"SOD2","3"
"HOXC4","1"
"AC141424.1","1"
"SLC26A11","2"
"SCGB3A1","3"
"PVR","1"
"SPNS2","1"
"CLEC4A","3"
"NECAP1","1"
"NUB1","2"
"WDR86-AS1","3"
"WDR86","3"
"PRPS2","3"
"LINC01002","1"
"PCM1","1"
"GLIPR2","3"
"ADGRG5","1"
"FXYD5","3"
"AL627230.1","1"
"RASSF8-AS1","1"
"HK1","3"
"COX6A1","3"
"RNF19A","1"
"HMGA2","2"
"AP2A1","2"
"AC093627.5","1"
"ZRSR2","2"
"CCL7","3"
"ADGRG3","1"
"DDIT4-AS1","3"
"GPT2","1"
"IRF3","1"
"TROAP","1"
"MT-CO1","1"
"CREBBP","2"
"ADGRE3","3"
"PLK2","1"
"AF230666.1","1"
"AL021368.2","1"
"AC010173.1","1"
"AP001350.1","2"
"BX890604.2","1"
"AL132639.2","1"
"C21orf58","1"
"EPN1","2"
"HIST1H3A","1"
"TRH","1"
"FIZ1","1"
"SETBP1","1"
"RHOH","1"
"TNFSF15","2"
"ATP13A3","1"
"SUPT4H1","3"
"AL450998.2","1"
"CEP76","1"
"AC009318.3","1"
"AC008982.2","1"
"HDGFL2","3"
"ZFAND6","2"
"AKAP10","1"
"AP002954.1","3"
"GNAQ","2"
"TUBA1A","1"
"FMNL3","2"
"FCER2","3"
"CAPN15","1"
"SSPN","3"
"GRIN2D","2"
"RBP7","2"
"SLC38A1","1"
"APBB1IP","3"
"SPART-AS1","1"
"STX16","1"
"LINC02449","1"
"KANSL2","1"
"SRGN","3"
"SPOCK2","1"
"AC007613.1","1"
"ELF1","2"
"PRKCSH","3"
"GSE1","1"
"AL110115.1","2"
"AC073389.1","1"
"ZNF175","1"
"LAT","1"
"TMPO-AS1","3"
"HIST4H4","1"
"AC087239.1","1"
"IFIT1B","1"
"AC123777.1","1"
"ZNF107","1"
"CCL2","3"
"AC245452.1","2"
"RUVBL2","3"
"CAPZA2","3"
"ZNF830","1"
"DNM1L","1"
"ATF5","3"
"NMT1","3"
"CHCHD10","3"
"RNASE4","3"
"ZNF251","1"
"NT5C","3"
"PRDX2","3"
"OBSL1","1"
"PCF11","1"
"SASH1","2"
"RCCD1","1"
"SELENOW","3"
"TSKS","2"
"AL133476.1","1"
"CEP85L","2"
"AC119674.1","1"
"GAREM1","2"
"BEND6","1"
"DNAJC27","1"
"DSTN","3"
"GATA2-AS1","1"
"TVP23B","1"
"CLDND2","1"
"AZIN1","1"
"RFWD3","1"
"ZCCHC24","3"
"NAA40","1"
"SAMD1","3"
"NFIC","1"
"PAXBP1","1"
"ZNF783","1"
"CD2BP2","3"
"CENPL","1"
"LIN7A","2"
"PUF60","3"
"NEURL1","3"
"HERPUD1","2"
"SCIMP","3"
"ACAD11","1"
"PANX2","1"
"AKR1C3","1"
"ZNF407","1"
"RPL13","3"
"BMP2","1"
"RNASE1","3"
"NPIPB4","1"
"OLMALINC","1"
"C19orf48","1"
"RALBP1","3"
"HMGN3-AS1","1"
"GZMB","1"
"LENG8","1"
"SNU13","3"
"SLC25A15","1"
"ACRBP","3"
"PRR33","2"
"IL4I1","3"
"PAFAH1B1","1"
"CCDC186","1"
"AC002511.2","2"
"CCL23","3"
"SLC38A2","1"
"OAS2","2"
"CRCP","2"
"PDCD2","3"
"COQ9","3"
"KPNA2","1"
"CHMP6","3"
"SNHG10","1"
"C14orf119","3"
"PIH1D1","3"
"SEC61A2","1"
"LINC01515","1"
"RPL13A","3"
"AC080038.1","1"
"CCL4","3"
"CLTA","3"
"AL158832.2","2"
"MS4A14","2"
"ULK1","1"
"AC009248.2","2"
"MACC1","1"
"MPHOSPH9","1"
"AL512603.2","1"
"KCNJ14","1"
"SLITRK6","2"
"NOB1","3"
"ZMIZ1","1"
"ZDHHC21","1"
"DDX11","1"
"TNNT1","2"
"AC025265.1","1"
"NDUFA4","3"
"SLC38A10","1"
"PAWR","1"
"TM4SF19","2"
"MPP7-DT","1"
"NDRG2","2"
"AL008729.2","2"
"GGA3","2"
"AL591623.1","1"
"MPP5","2"
"SEC23B","1"
"TIAM1","3"
"TRIM38","1"
"ZNF880","1"
"CTU1","3"
"LINC01089","1"
"CLN8","1"
"MT1F","3"
"RPS11","3"
"PYURF","3"
"TRPM4","3"
"DDHD2","1"
"E2F1","1"
"TFPT","3"
"RPL27","3"
"ZDHHC14","1"
"PAK2","2"
"DLG5","1"
"ANKRD27","1"
"AL354733.3","1"
"ARHGAP9","2"
"TRMT9B","1"
"DYNC1LI2","1"
"PEG10","1"
"CLUAP1","1"
"RPL35","3"
"MYLPF","1"
"SERPINB6","3"
"ATP23","3"
"WBP4","2"
"CDCA3","1"
"AC069209.2","2"
"PSMA4","3"
"ZNF324B","1"
"LRRK1","2"
"PHF19","3"
"DSC2","1"
"APLP2","3"
"GRK3","2"
"AC009093.1","2"
"AL132996.1","1"
"AC016831.7","2"
"RPL39L","3"
"CDH4","1"
"NKX2-3","1"
"MGAT4B","3"
"PLGRKT","3"
"MYL12A","3"
"KDM5C","1"
"AC087190.1","2"
"AC024257.3","1"
"TTC39B","2"
"PLTP","1"
"PHTF2","2"
"LINC01446","1"
"OTUD6B","1"
"SLC20A1","1"
"SLC3A2","1"
"PDE4C","1"
"EWSR1","1"
"ZNF329","1"
"CECR2","2"
"EGR2","3"
"SEPTIN7-AS1","1"
"ANKRD39","3"
"AC096564.1","2"
"ZFP36","1"
"ARHGAP4","1"
"PDGFD","1"
"GLT1D1","2"
"MGST1","3"
"ARL14EP","3"
"CD63","3"
"POLE3","1"
"AC069544.1","1"
"IGLC3","2"
"AP002807.1","2"
"TRIM59","1"
"CST6","3"
"DNAAF1","3"
"TCF3","1"
"IQSEC3","1"
"AC092809.2","3"
"TMEM11","3"
"CHKB","1"
"AC072061.1","1"
"ATP6V1G1","3"
"AL031283.1","1"
"SUPT6H","1"
"TGFB1","3"
"AC123567.2","1"
"ABAT","1"
"ZIK1","1"
"SORL1","1"
"STX11","3"
"CTSD","3"
"HOXB3","1"
"TMBIM4","3"
"BDH1","1"
"LINC02541","2"
"CD33","3"
"LINC00676","2"
"FARSA","3"
"RPS17","3"
"OFD1","1"
"VCP","1"
"LENG9","2"
"GOLGA6L9","1"
"GPR162","3"
"AL359541.1","1"
"AC002480.2","3"
"C19orf25","1"
"CDKN2B","1"
"SEMA4D","2"
"CCS","3"
"ATM","1"
"AC007996.1","1"
"HEBP1","3"
"MPDU1","2"
"AL133415.1","2"
"CD68","3"
"KCTD12","3"
"CLTCL1","1"
"F8","2"
"SULT1A1","2"
"SPIN1","1"
"KANK1","1"
"ARL2","3"
"EEF1AKMT1","3"
"LYN","2"
"GEN1","1"
"POLR2K","3"
"ATP5F1E","3"
"FDFT1","3"
"KNTC1","1"
"AC127521.1","1"
"PPP1R12A","1"
"PRSS2","1"
"IL1R2","1"
"AC084082.1","2"
"STK38L","1"
"RPL36","3"
"GRAP2","3"
"DESI1","3"
"C3orf80","1"
"CYP4F3","1"
"AC116903.2","2"
"SLC2A13","2"
"AGAP2","1"
"LINC00937","2"
"AP000238.1","2"
"TMEM220","3"
"TET2","1"
"ITM2B","3"
"ETV6","1"
"FUNDC2","3"
"BMI1","3"
"CLK3","1"
"ARHGDIB","3"
"ASAP1","2"
"KRT8","1"
"CORO1C","2"
"PDCD6IP","2"
"AC100788.1","2"
"SMS","3"
"AC069185.1","1"
"PDE4A","3"
"ICAM1","3"
"AC008915.2","3"
"AC012291.3","1"
"BAZ2A","1"
"PHF3","1"
"TRIM22","1"
"RNF126","3"
"AC243960.1","1"
"ZNF181","1"
"AC026471.1","1"
"ERF","1"
"LRRC23","1"
"PCSK7","1"
"FAM214B","1"
"EGLN1","2"
"LCMT1","3"
"ZNF658","2"
"ZSWIM4","1"
"BCL7C","3"
"MBNL1","1"
"STN1","3"
"ZCCHC3","1"
"AC109992.2","2"
"BSCL2","3"
"C15orf40","3"
"NCOA2","1"
"SBNO1-AS1","1"
"HIST1H1C","1"
"ADA2","3"
"BX640514.2","1"
"SLC2A4RG","1"
"PRDX5","3"
"AL137003.2","1"
"RECQL4","1"
"WASHC4","1"
"OGA","1"
"TESC","3"
"AC087286.2","2"
"MROH6","1"
"LINC00346","2"
"ITGAX","1"
"AL138756.1","2"
"FASN","1"
"HSP90AB1","3"
"SERPINB9","3"
"TPT1-AS1","1"
"PCBD1","3"
"AL590428.1","1"
"CCT6B","1"
"CHST15","2"
"AC115485.1","1"
"MTFR2","1"
"METTL1","1"
"GZF1","1"
"IMPA2","3"
"FLT3","1"
"ING3","2"
"AC044849.1","1"
"TM7SF3","1"
"LRRC61","1"
"MMP2","1"
"KDM5B","1"
"TUBB6","2"
"BAHCC1","1"
"RAB39A","2"
"MLKL","1"
"TMEM140","1"
"AL160254.1","3"
"NEK5","1"
"AL445489.1","2"
"ANKRD40CL","1"
"RPLP1","3"
"RPL36A","3"
"KLHL9","1"
"DOK2","3"
"BUB3","3"
"SPATA13","2"
"ZFP36L1","3"
"MX2","2"
"TEDC1","1"
"C9orf131","2"
"HIST1H3B","1"
"HDAC10","1"
"GET3","3"
"USF2","3"
"SEPHS2","1"
"MADD","1"
"NUDT19","2"
"RIC1","2"
"RALGDS","2"
"HP","1"
"VASP","3"
"ROMO1","3"
"KIF3B","2"
"ABCA13","1"
"ATXN1","1"
"PDP2","1"
"HIST1H2AC","1"
"SEC61B","3"
"AL356417.1","2"
"TMEM59","3"
"LINC01410","1"
"PI4K2A","2"
"RREB1","1"
"TCP11L2","2"
"CD9","3"
"GRAMD1B","2"
"DUSP3","3"
"ANGPT1","1"
"ZNF480","3"
"CCND3","3"
"MRTO4","3"
"SARNP","3"
"PHIP","1"
"TWF1","1"
"NFAM1","2"
"PDE7A","1"
"IFIT1","2"
"BCL10","2"
"ZNF430","1"
"TENM1","2"
"CKS2","1"
"IFIT2","2"
"MARF1","1"
"EPHB1","1"
"IFITM3","3"
"CCNE1","1"
"HCFC1R1","3"
"VPS29","3"
"NOL12","3"
"LINC00205","1"
"AL139042.1","1"
"NTHL1","3"
"IREB2","1"
"DENND6B","3"
"CAMTA2","2"
"SLC39A4","3"
"SCML2","1"
"MRPL46","3"
"CRY2","2"
"AC015871.7","1"
"AP001267.1","2"
"NUP62","1"
"CKAP5","1"
"TRAF1","1"
"ACAA2","3"
"CBX3","3"
"ANKRD54","1"
"SNTB2","2"
"SAC3D1","3"
"FANCB","2"
"RNF130","3"
"EBF3","1"
"FARP1","2"
"CPQ","2"
"CARMIL1","1"
"TMEM91","3"
"PRC1","1"
"LINC00863","1"
"TMEM258","3"
"EZR","3"
"WDR62","1"
"ZNF7","2"
"IGLC2","3"
"TERC","1"
"AC093635.1","1"
"PEPD","3"
"NRIP1","2"
"APOBEC3H","3"
"NFE2","3"
"MTBP","1"
"SPNS3","1"
"PCLAF","1"
"ULK2","2"
"PTGES3","3"
"C11orf1","3"
"LCA5","1"
"MON2","1"
"LYL1","3"
"STIM1","2"
"SSBP4","3"
"SLC66A1","1"
"FOXJ2","2"
"PIEZO1","1"
"ARNTL2","3"
"AL008638.6","2"
"KDELR3","1"
"CD7","1"
"GLIS3","1"
"ASRGL1","3"
"ZZEF1","1"
"GAS7","1"
"ACOT9","2"
"C15orf61","3"
"HSP90B1","2"
"PRKACA","3"
"DGKE","1"
"CCDC57","3"
"PPP1CB","2"
"AC021321.1","1"
"AC004477.1","1"
"AC023157.3","2"
"DIP2B","1"
"SCAT1","2"
"SLC25A35","1"
"DOCK8","1"
"PPP1R9A","1"
"PHC3","1"
"TM6SF1","3"
"CAVIN3","3"
"AP003486.1","2"
"NDUFA6","3"
"HECA","1"
"CALML4","3"
"SPESP1","2"
"AL355297.4","1"
"SNHG19","3"
"ZNFX1","1"
"SHOC2","1"
"ATMIN","2"
"COX6B1","3"
"AC006333.2","3"
"UTY","1"
"ZNF276","1"
"LRRC4","2"
"GCLC","1"
"GRK2","1"
"NRP1","3"
"TLR2","2"
"HBG1","1"
"FUS","1"
"SNCAIP","1"
"HIPK3","2"
"CSF1R","3"
"GPA33","3"
"FBXO3","1"
"TRAP1","3"
"AL031772.1","2"
"AMZ2","1"
"FGD6","1"
"MED7","3"
"AL353194.1","1"
"PPP6R1","1"
"ALKBH3","3"
"PPL","1"
"AC123912.4","1"
"AL391121.1","1"
"ARHGEF10L","2"
"MARS2","1"
"VCL","2"
"KIAA0513","2"
"AC024451.4","2"
"SERGEF","3"
"ZNF335","1"
"BST2","3"
"FSCN1","1"
"MEF2A","1"
"CYP51A1","2"
"NCAPD2","2"
"ARHGEF12","2"
"AZU1","1"
"TMEM44","1"
"PRKY","2"
"HCAR2","2"
"USP10","1"
"GTF3C4","1"
"CDV3","3"
"USP54","1"
"PLAA","2"
"UBR3","1"
"EPHA1-AS1","1"
"AC008735.2","2"
"CACNB3","1"
"RELL1","2"
"SCD","2"
"AC090204.1","3"
"TXNDC17","3"
"SUSD6","2"
"ACTN1","1"
"INSYN2B","2"
"FANCG","1"
"TOMM7","3"
"H1FX","1"
"DANCR","3"
"PTPN7","1"
"ZNF367","1"
"DDIT4","3"
"NUMA1","1"
"AC104984.5","1"
"CENPW","3"
"LRFN4","1"
"MYOM1","3"
"AC008124.1","1"
"ZBTB10","1"
"RBM39","1"
"DNAJC2","1"
"FAM193B","1"
"RIPOR2","2"
"ZNF426","1"
"MSTO1","1"
"CRACR2A","1"
"TACC1","1"
"AC106820.4","1"
"OSBPL11","2"
"SMCO4","3"
"AL590822.2","2"
"TYMP","3"
"TCF4","1"
"SELENBP1","1"
"AL358472.4","1"
"IQGAP1","1"
"RPS16","3"
"NOD2","2"
"COX7B","3"
"ANAPC16","3"
"DTX3L","2"
"MDN1","1"
"AC005343.1","2"
"PFN1","3"
"PHACTR3","1"
"LINC00539","1"
"CLEC5A","2"
"TRUB2","3"
"MYO9B","1"
"DOC2A","1"
"PNISR","1"
"EIF4A3","1"
"ZDHHC7","3"
"DENND1A","2"
"TUT7","1"
"RBMX","1"
"TAB2","2"
"TRIM28","1"
"BAIAP2-DT","2"
"SHFL","1"
"SNRPB","3"
"EXOSC4","3"
"GARS-DT","1"
"SNRPD3","3"
"AL135925.1","1"
"PPFIBP1","1"
"LPP","2"
"DOT1L","1"
"RUFY2","1"
"SLC35B2","2"
"MGAM","1"
"EVI2A","3"
"ZNF703","3"
"CPNE7","1"
"FOSB","1"
"VLDLR","1"
"ANKRD13A","2"
"STXBP4","1"
"AC092171.4","1"
"RPS28","3"
"ADAT2","1"
"SLITRK5","1"
"EFR3A","2"
"CD1E","3"
"ETNK1","1"
"AC103858.3","1"
"DPY19L4","1"
"CYCS","1"
"USP15","1"
"ASAH1","2"
"AL133410.1","1"
"ENSA","1"
"MUC19","1"
"GOLGA3","1"
"FANCI","1"
"ADM5","1"
"TUBGCP6","1"
"CYLD","1"
"CDKN2A","1"
"WNK1","2"
"ZNF248","1"
"FOPNL","3"
"BPTF","1"
"STIP1","3"
"DDX39A","1"
"MIEN1","3"
"PRSS21","3"
"TMX4","1"
"TOR2A","3"
"TMSB4Y","2"
"ZNF266","1"
"GPR84","2"
"AC092140.1","2"
"MPZ","1"
"MFGE8","1"
"TRIM73","1"
"SOD1","3"
"POMZP3","1"
"UBE2L3","3"
"PIWIL4","1"
"POLD2","1"
"DGCR8","1"
"HOXA3","1"
"MSC","3"
"CSF2","3"
"PLEKHA5","1"
"SULF2","3"
"ISG15","2"
"ILF3-DT","1"
"RFXANK","3"
"PSMB3","3"
"ZNF598","1"
"PSAP","3"
"NAGA","3"
"METRNL","3"
"C9orf43","1"
"MT-CO2","1"
"HEXB","3"
"OSBPL3","1"
"ELMO1","1"
"AL391840.1","1"
"NAIP","1"
"TRIM14","2"
"ZDHHC4","3"
"NKG7","3"
"AL162458.1","1"
"RPS3A","3"
"ATP6V0A2","1"
"AC123512.1","2"
"RASGRP4","2"
"ATP5MG","3"
"MAN2A2","1"
"AC027307.3","1"
"AC100793.2","1"
"RPGR","1"
"TENT5A","1"
"SWAP70","3"
"AAK1","1"
"DNAJA4","1"
"ZNF736","1"
"NDST2","2"
"GATAD2A","1"
"DDX43","3"
"FUT11","1"
"SAP18","3"
"AC008894.2","1"
"UBA5","3"
"SREBF2","2"
"SLC31A2","1"
"NSMAF","1"
"DGAT1","1"
"ZNF738","1"
"EXD3","1"
"TFB1M","1"
"LINC01475","1"
"PRIMPOL","1"
"AL357093.2","1"
"TRAF4","1"
"CABP4","1"
"LILRA6","3"
"KCNQ5-IT1","1"
"AC010542.2","2"
"SLC9A9","2"
"IARS","1"
"NFKBIA","3"
"LGALS9","3"
"AC116366.1","1"
"RALGPS2","1"
"FAM174B","1"
"TMEM170B","2"
"AL031848.2","1"
"C12orf49","3"
"CDK17","1"
"WDR90","1"
"ZBTB46","1"
"TOMM5","3"
"SULT2B1","3"
"AC093525.6","1"
"OAS3","2"
"AC005332.6","2"
"MRPL51","3"
"HLTF","1"
"ATP5F1B","3"
"ECI2","3"
"SSR1","3"
"LRRC24","1"
"RPL38","3"
"C16orf74","3"
"MINK1","2"
"CD163","3"
"DOCK11","2"
"APTR","1"
"ZNF506","1"
"BAIAP2","1"
"AL139383.1","1"
"SATB1-AS1","1"
"TNIP2","3"
"MT-ND2","1"
"AC007342.5","2"
"B4GALT6","1"
"CCDC6","2"
"RAB27A","2"
"FAM110B","1"
"TRIAP1","3"
"ANKRD36B","1"
"CCT8","3"
"AC026471.4","1"
"CYP2R1","1"
"PALM","1"
"CEACAM4","3"
"PTX3","3"
"UHRF1","1"
"USP11","1"
"LRMDA","3"
"AC104532.2","2"
"NBN","1"
"CD164","1"
"LINC02476","2"
"IER3","3"
"RER1","3"
"PPP6C","3"
"DPM2","3"
"HOXB4","1"
"TNFSF13B","3"
"RPS6KA5","1"
"FGL2","3"
"P2RX4","2"
"FNIP2","2"
"RELA-DT","3"
"CPNE5","1"
"RGP1","1"
"PPP6R3","1"
"TAPBP","2"
"ZCCHC8","1"
"NFXL1","2"
"AZIN1-AS1","2"
"LRRC25","3"
"SMIM24","1"
"DNAJA2","1"
"MRVI1","1"
"AC022730.4","3"
"PREX1","1"
"FBRSL1","1"
"ENTPD7","2"
"UBA7","1"
"MLEC","1"
"RBBP6","1"
"ZDHHC16","3"
"RAB30-DT","1"
"SNRNP70","1"
"LINC02471","2"
"PABPN1","1"
"CNTD1","2"
"LINC02245","1"
"SETMAR","1"
"ZDHHC5","1"
"DPYSL2","3"
"ADORA2A","2"
"MRPL13","3"
"ATAD5","1"
"ADNP2","1"
